# Frequency(Hz) Real(n) Imag(n)
2.999242346024220581e+11 1.982146245393566319e+00 -1.657111381816860367e-04
3.015027832055927124e+11 1.981797008780547209e+00 -2.328284457517675293e-04
3.030813318087633057e+11 1.981442334208702194e+00 -2.441970698354165091e-04
3.046598804119339600e+11 1.981086860901287494e+00 -1.980776299312250017e-04
3.062384290151046143e+11 1.980735848026393686e+00 -9.137627683106816067e-05
3.078169776182752686e+11 1.980395753441720919e+00 8.065179542713802620e-05
3.093955262214459229e+11 1.980075350648651478e+00 3.249199477132680620e-04
3.109740748246165771e+11 1.979787918940124181e+00 6.510262343968507490e-04
3.125526234277871704e+11 1.979555363474958751e+00 1.071045086173584831e-03
3.141311720309578247e+11 1.979415382811171575e+00 1.596498425375226810e-03
3.157097206341284790e+11 1.979431810811269177e+00 2.227050478883412909e-03
3.172882692372991333e+11 1.979700840501360082e+00 2.919440698178024651e-03
3.188668178404697876e+11 1.980317731367870371e+00 3.528331820302385048e-03
3.204453664436403809e+11 1.983990312748672658e+00 6.368392312676562916e-02
3.220239150468110352e+11 1.982145196089734718e+00 3.545761474904234999e-03
3.236024636499816895e+11 1.982743876874333733e+00 2.974359598896097415e-03
3.251810122531523438e+11 1.983006458316735277e+00 2.344630619074633462e-03
3.267595608563229980e+11 1.983043770007030249e+00 1.791602134266417640e-03
3.283381094594935913e+11 1.982956503466347442e+00 1.343947407517161142e-03
3.299166580626642456e+11 1.982805463668127377e+00 9.900503191701450888e-04
3.314952066658348999e+11 1.982621928757755114e+00 7.105928047179482180e-04
3.330737552690055542e+11 1.982420467990478885e+00 4.893286018447264279e-04
3.346523038721762085e+11 1.982207335007532434e+00 3.151901621651196804e-04
3.362308524753468018e+11 1.981985135958362676e+00 1.816684891563653521e-04
3.378094010785174561e+11 1.981755229233817861e+00 8.563501911672232716e-05
3.393879496816881104e+11 1.981518878958235419e+00 2.629586985250792288e-05
3.409664982848587646e+11 1.981277767394101108e+00 4.453671065908941515e-06
3.425450468880294189e+11 1.981034221472055767e+00 2.209386852950630378e-05
3.441235954912000122e+11 1.980791390312467648e+00 8.227514607020975485e-05
3.457021440943706665e+11 1.980553587437509755e+00 1.892954873029494261e-04
3.472806926975413208e+11 1.980327073974559982e+00 3.490727291214350161e-04
3.488592413007119751e+11 1.980121719479460474e+00 5.695407423979648252e-04
3.504377899038826294e+11 1.979954227361923946e+00 8.604268524921624382e-04
3.520163385070532227e+11 1.979853731310721843e+00 1.230587000578995619e-03
3.535948871102238770e+11 1.979869342760768314e+00 1.678335875456229411e-03
3.551734357133945312e+11 1.980072110503912741e+00 2.166388752456156839e-03
3.567519843165651855e+11 1.993508251637934992e+00 5.745602469254911665e-02
3.583305329197358398e+11 1.981642075843571993e+00 5.731011305186937271e-02
3.599090815229064331e+11 1.969947088870946494e+00 5.802684989596892939e-02
3.614876301260770874e+11 1.982196507761583515e+00 2.172690753665536788e-03
3.630661787292477417e+11 1.982386801314828695e+00 1.746231216122481888e-03
3.646447273324183960e+11 1.982429512392189119e+00 1.367548156731115397e-03
3.662232759355890503e+11 1.982389616956330425e+00 1.054732937773053287e-03
3.678018245387596436e+11 1.982306265318394933e+00 7.999463138260147098e-04
3.693803731419302979e+11 1.982199266083389588e+00 5.904099287997706738e-04
3.709589217451009521e+11 1.982077403414469474e+00 4.154871813547629956e-04
3.725374703482716064e+11 1.981943945905361826e+00 2.680885944048555622e-04
3.741160189514422607e+11 1.981799718474078986e+00 1.442763322214344842e-04
3.756945675546129150e+11 1.981644676330021504e+00 4.250681376990699911e-05
3.772731161577835083e+11 1.981478651835681726e+00 -3.702350268788684158e-05
3.788516647609541626e+11 1.981301675921292249e+00 -9.280148599314088048e-05
3.804302133641248169e+11 1.981114117919234641e+00 -1.221616879908391830e-04
3.820087619672954712e+11 1.980916822744947847e+00 -1.211820553114402487e-04
3.835873105704661255e+11 1.980711434544857541e+00 -8.430182155502858839e-05
3.851658591736367188e+11 1.980501186598174757e+00 -3.678872170756037995e-06
3.867444077768073730e+11 1.980292633052677331e+00 1.315623253083986796e-04
3.883229563799780273e+11 1.980099100768123233e+00 3.355956621354283563e-04
3.899015049831486816e+11 1.979946824150502493e+00 6.238422878511479686e-04
3.914800535863193359e+11 1.979883562341671954e+00 1.003969473175271706e-03
3.930586021894899292e+11 1.979982603306719602e+00 1.451469371632930529e-03
3.946371507926605835e+11 1.990597621190884681e+00 5.216033987519886478e-02
3.962156993958312378e+11 1.979917563614754128e+00 5.206887604435395805e-02
3.977942479990018921e+11 1.969378682068604114e+00 5.273903959541513531e-02
3.993727966021725464e+11 1.981824487789209277e+00 1.701054585925271430e-03
4.009513452053431396e+11 1.982045737273963715e+00 1.335209369581659075e-03
4.025298938085137939e+11 1.982127500104732931e+00 9.869206639538095384e-04
4.041084424116844482e+11 1.982122074786850430e+00 6.835823155179650149e-04
4.056869910148551025e+11 1.982064843139570653e+00 4.266401391559026157e-04
4.072655396180257568e+11 1.981976239201209467e+00 2.097201184333093746e-04
4.088440882211963501e+11 1.981867214665702814e+00 2.577058030126899122e-05
4.104226368243670044e+11 1.981743344514685479e+00 -1.307644202214268663e-04
4.120011854275376587e+11 1.981607312823111311e+00 -2.635972584917711369e-04
4.135797340307083130e+11 1.981460299639888456e+00 -3.747937917066017539e-04
4.151582826338789673e+11 1.981302719921780975e+00 -4.650403756621375255e-04
4.167368312370495605e+11 1.981134608851169432e+00 -5.338106764618999640e-04
4.183153798402202148e+11 1.980955845169532381e+00 -5.793648154650724936e-04
4.198939284433908691e+11 1.980766364621463937e+00 -5.985400222078553992e-04
