# Frequency(Hz) n_real k_imag
7.829601e+11 1.989645e+00 -4.415814e-03
7.845387e+11 1.989465e+00 -3.757891e-03
7.861172e+11 1.989397e+00 -3.066404e-03
7.876958e+11 1.989451e+00 -2.343321e-03
7.892743e+11 1.989642e+00 -1.589317e-03
7.908529e+11 1.990003e+00 -8.073776e-04
7.924314e+11 1.990592e+00 -1.281743e-05
7.940099e+11 1.991506e+00 7.375784e-04
7.955885e+11 1.992870e+00 1.259039e-03
7.971670e+11 1.994625e+00 1.115897e-03
7.987456e+11 1.996137e+00 5.900851e-05
8.003241e+11 1.996928e+00 -1.422917e-03
8.019027e+11 1.997100e+00 -2.885642e-03
8.034812e+11 1.996845e+00 -4.166417e-03
8.050598e+11 1.996301e+00 -5.210895e-03
8.066383e+11 1.995569e+00 -5.998998e-03
8.082169e+11 1.994733e+00 -6.528158e-03
8.097954e+11 1.993863e+00 -6.810362e-03
8.113740e+11 1.993018e+00 -6.870884e-03
8.129525e+11 1.992241e+00 -6.744482e-03
8.145311e+11 1.991560e+00 -6.469632e-03
8.161096e+11 1.990988e+00 -6.083020e-03
8.176882e+11 1.990529e+00 -5.615658e-03
8.192667e+11 1.990181e+00 -5.091189e-03
8.208453e+11 1.989940e+00 -4.525919e-03
8.224238e+11 1.989801e+00 -3.929897e-03
8.240024e+11 1.989766e+00 -3.308444e-03
8.255809e+11 1.989841e+00 -2.663860e-03
8.271595e+11 1.990041e+00 -1.997933e-03
8.287380e+11 1.990395e+00 -1.315772e-03
8.303166e+11 1.990953e+00 -6.360457e-04
8.318951e+11 1.991792e+00 -1.705552e-05
8.334737e+11 1.993000e+00 3.749277e-04
8.350522e+11 1.994496e+00 2.010871e-04
8.366308e+11 1.995788e+00 -7.151532e-04
8.382093e+11 1.996487e+00 -2.010863e-03
8.397879e+11 1.996641e+00 -3.310618e-03
8.413664e+11 1.996407e+00 -4.453690e-03
8.429450e+11 1.995910e+00 -5.381655e-03
8.445235e+11 1.995247e+00 -6.074367e-03
8.461021e+11 1.994496e+00 -6.531260e-03
8.476806e+11 1.993723e+00 -6.766641e-03
8.492591e+11 1.992979e+00 -6.806456e-03
8.508377e+11 1.992300e+00 -6.683820e-03
8.524162e+11 1.991708e+00 -6.433777e-03
8.539948e+11 1.991216e+00 -6.088697e-03
8.555733e+11 1.990823e+00 -5.675253e-03
8.571519e+11 1.990528e+00 -5.213481e-03
8.587304e+11 1.990327e+00 -4.717102e-03
8.603090e+11 1.990218e+00 -4.194582e-03
8.618875e+11 1.990201e+00 -3.650686e-03
8.634661e+11 1.990283e+00 -3.088046e-03
8.650446e+11 1.990479e+00 -2.509743e-03
8.666232e+11 1.990815e+00 -1.923190e-03
8.682017e+11 1.991332e+00 -1.350309e-03
8.697803e+11 1.992093e+00 -8.499156e-04
8.713588e+11 1.993151e+00 -5.689696e-04
8.729374e+11 1.994416e+00 -7.657677e-04
8.745159e+11 1.995510e+00 -1.560454e-03
8.760945e+11 1.996122e+00 -2.687723e-03
8.776730e+11 1.996263e+00 -3.840768e-03
8.792516e+11 1.996052e+00 -4.866220e-03
8.808301e+11 1.995600e+00 -5.701965e-03
8.824087e+11 1.994995e+00 -6.325067e-03
8.839872e+11 1.994309e+00 -6.733649e-03
